song,mood,tempo,song_path
Shayad,     Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Shayad.mp3
Tum Hi Aana,	Sad,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Aana.mp3
Tum Jo Aaye,	Romantic,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye.mp3
Mera Naam Joker,	Reflective,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Mera Naam Joker.mp3
Pal Pal Dil Ke Paas,	Romantic,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Pal Pal Dil Ke Paas.mp3
Channa Mereya,	Sad,82,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Channa Mereya.mp3
Tum Hi Ho,	Romantic,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho.mp3
Kabhi Kabhi Aditi,	Romantic,112,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kabhi Kabhi Aditi.mp3
Tum Mile,	Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile.mp3
Zara Zara,	Romantic,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Zara Zara.mp3
Jeene Laga Hoon,	Romantic,130,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon.mp3
Raabta,	Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Raabta.mp3
Sun Saathiya,	Romantic,105,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Sun Saathiya.mp3
Bulleya,	Energetic,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Bulleya.mp3
Janam Janam,	Romantic,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Janam Janam.mp3
Agar Tum Saath Ho,	Romantic,60,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Agar Tum Saath Ho.mp3
Malhari,	Energetic,140,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Malhari.mp3
Tere Bina,	Reflective,64,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tere Bina.mp3
Badtameez Dil,	Energetic,144,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Badtameez Dil.mp3
Zingaat,	Energetic,114,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Zingaat.mp3
Lut Gaye,	Sad,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Lut Gaye.mp3
Pachtaoge,	Sad,76,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Pachtaoge.mp3
Tera Ban Jaunga,	Romantic,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga.mp3
Main Tera Hero,	Energetic,128,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Main Tera Hero.mp3
Ghungroo,	Energetic,105,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Ghungroo.mp3
Shukran Allah,	Upbeat,100,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Shukran Allah.mp3
Dil Diyan Gallan,	Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Dil Diyan Gallan.mp3
Tum Hi Ho,	Reflective,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho.mp3
Malhari,	Energetic,148,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Malhari.mp3
Sun Saathiya,	Upbeat,100,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Sun Saathiya.mp3
Agar Tum Saath Ho,	Romantic,58,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Agar Tum Saath Ho.mp3
Tera Ban Jaunga,	Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga.mp3
Jeene Laga Hoon,	Romantic,128,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon.mp3
Pachtaoge,	Sad,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Pachtaoge.mp3
Zara Zara,	Romantic,88,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Zara Zara.mp3
Bulleya,	Energetic,92,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Bulleya.mp3
Kabhi Kabhi Aditi,	Romantic,120,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kabhi Kabhi Aditi.mp3
Badtameez Dil,	Energetic,140,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Badtameez Dil.mp3
Tum Jo Aaye,	Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye.mp3
Sun Saathiya,	Upbeat,95,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Sun Saathiya.mp3
Jeene Laga Hoon,	Romantic,132,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon.mp3
Tum Hi Ho,	Reflective,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho.mp3
Agar Tum Saath Ho,	Romantic,65,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Agar Tum Saath Ho.mp3
Main Tera Hero,	Energetic,120,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Main Tera Hero.mp3
Channa Mereya,	Sad,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Channa Mereya.mp3
Zingaat,	Energetic,110,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Zingaat.mp3
Malhari,    Energetic,142,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Malhari.mp3
Lut Gaye,	Sad,85,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Lut Gaye.mp3
Janam Janam,	Romantic,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Janam Janam.mp3
Pal Pal Dil Ke Paas,	Romantic,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Pal Pal Dil Ke Paas.mp3
Ae Dil Hai Mushkil, Romantic,85,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Ae Dil Hai Mushkil.mp3
Chaiyya Chaiyya,    Energetic,135,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Chaiyya Chaiyya.mp3
Kar Gayi Chull, Energetic,120,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kar Gayi Chull.mp3
Jai Ho, Upbeat,137,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jai Ho.mp3
Jab Koi Baat Bigad Jaye, Sad,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jab Koi Baat Bigad Jaye.mp3
Kahin To Hogi Woh, Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kahin To Hogi Woh.mp3
Dil Diyan Gallan, Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Dil Diyan Gallan.mp3
Yeh Fitoor Mera, Romantic,100,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Yeh Fitoor Mera.mp3
Tum Jo Aaye, Romantic,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye.mp3
Tose Naina, Sad,62,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tose Naina.mp3
Tere Bina, Reflective,64,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tere Bina.mp3
Pee Loon, Romantic,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Pee Loon.mp3
Yeh Ishq Hai, Romantic,112,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Yeh Ishq Hai.mp3
Tum Se Hi, Calm,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Se Hi.mp3
Nadaan Parindey, Energetic,120,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Nadaan Parindey.mp3
Main Hoon Hero Tera, Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Main Hoon Hero Tera.mp3
Sun Saathiya, Upbeat,105,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Sun Saathiya.mp3
Gulabi Aankhen, Romantic,120,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Gulabi Aankhen.mp3
Tera Ban Jaunga, Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga.mp3
Saudagar Sauda Kar, Energetic,140,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Saudagar Sauda Kar.mp3
Aaj Kal Tere Mere Pyar Ke Charche, Upbeat,132,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Aaj Kal Tere Mere Pyar Ke Charche.mp3
Tera Hone Laga Hoon, Romantic,108,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Hone Laga Hoon.mp3
Raabta, Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Raabta.mp3
Tum Hi Ho (Unplugged), Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Unplugged).mp3
Hasi Ban Gaye, Reflective,65,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Hasi Ban Gaye.mp3
Janam Janam, Romantic,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Janam Janam.mp3
Lat Lag Gayi, Energetic,125,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Lat Lag Gayi.mp3
Chand Sifarish, Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Chand Sifarish.mp3
Tum Hi Aana, Sad,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Aana.mp3
Muskurane, Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Muskurane.mp3
Janam Janam (Reprise), Romantic,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Janam Janam (Reprise).mp3
Jeene Laga Hoon, Romantic,130,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon.mp3
Zehnaseeb, Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Zehnaseeb.mp3
Shayad, Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Shayad.mp3
Yeh Jo Halka Halka Suroor Hai, Romantic,85,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Yeh Jo Halka Halka Suroor Hai.mp3
Mere Haath Mein, Romantic,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Mere Haath Mein.mp3
Chak De India, Upbeat,137,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Chak De India.mp3
Sun Zara, Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Sun Zara.mp3
Zindagi Ke Safar Mein, Reflective,85,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Zindagi Ke Safar Mein.mp3
Kyun, Sad,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kyun.mp3
Teri Ore, Romantic,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Teri Ore.mp3
Jashn-e-Bahara, Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jashn-e-Bahara.mp3
Kabira, Calm,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kabira.mp3
Jab We Met, Upbeat,126,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jab We Met.mp3
Raat Bhar, Romantic,92,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Raat Bhar.mp3
Tum Jo Aaye, Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye.mp3
Pee Loon (Remix), Energetic,130,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Pee Loon (Remix).mp3
Tum Hi Ho (Remix), Energetic,120,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Remix).mp3
Sunn Raha Hai, Reflective,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Sunn Raha Hai.mp3
Tum Se Hi (Unplugged), Calm,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Se Hi (Unplugged).mp3
Kaise Hua, Romantic,105,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kaise Hua.mp3
Ghar More Pardesiya, Energetic,138,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Ghar More Pardesiya.mp3
Tum Mile (Reprise), Reflective,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Reprise).mp3
Yeh Dooriyan, Sad,65,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Yeh Dooriyan.mp3
Ae Mere Humsafar, Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Ae Mere Humsafar.mp3
Dil To Pagal Hai, Romantic,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Dil To Pagal Hai.mp3
Sun Saathiya (Reprise), Reflective,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Sun Saathiya (Reprise).mp3
Tum Hi Ho (Reprise), Reflective,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Reprise).mp3
Tera Ban Jaunga (Unplugged), Romantic,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Unplugged).mp3
Tum Mile (Unplugged), Reflective,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Unplugged).mp3
Mera Mann, Romantic,85,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Mera Mann.mp3
Jee Karda, Energetic,140,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jee Karda.mp3
Tum Jo Aaye (Reprise), Romantic,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Reprise).mp3
Tere Bina (Reprise), Reflective,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tere Bina (Reprise).mp3
Bekhayali, Sad,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Bekhayali.mp3
Galliyan, Romantic,100,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Galliyan.mp3
Soniye Hiriye, Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Soniye Hiriye.mp3
Humnava, Sad,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Humnava.mp3
Tum Hi Ho Bandhu, Energetic,125,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho Bandhu.mp3
Tera Ghata, Sad,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ghata.mp3
Pee Loon (Unplugged), Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Pee Loon (Unplugged).mp3
Tum Mile (Love Reprise), Romantic,82,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Love Reprise).mp3
Sun Saathiya (Reprise), Reflective,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Sun Saathiya (Reprise).mp3
Kyun Aaj Kal Neend Kam Khwaab Jyada Hai, Romantic,85,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kyun Aaj Kal Neend Kam Khwaab Jyada Hai.mp3
Kaise Hua (Unplugged), Reflective,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kaise Hua (Unplugged).mp3
Naina, Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Naina.mp3
Phir Le Aaya Dil, Reflective,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Phir Le Aaya Dil.mp3
Tum Hi Ho (Acoustic), Reflective,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Acoustic).mp3
Muskurane (Unplugged), Reflective,65,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Muskurane (Unplugged).mp3
Jeene Laga Hoon (Reprise), Romantic,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Reprise).mp3
Challa, Energetic,110,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Challa.mp3
Khuda Jaane, Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Khuda Jaane.mp3
Teri Meri, Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Teri Meri.mp3
Zara Zara, Romantic,88,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Zara Zara.mp3
Yeh Tumhari Meri Baatein, Romantic,82,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Yeh Tumhari Meri Baatein.mp3
Tera Hone Laga Hoon (Reprise), Romantic,78,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Hone Laga Hoon (Reprise).mp3
Raabta (Unplugged), Reflective,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Raabta (Unplugged).mp3
Aashayein, Upbeat,128,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Aashayein.mp3
Kabira (Reprise), Calm,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kabira (Reprise).mp3
Tera Zikr, Romantic,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Zikr.mp3
Maiyya Yashoda, Upbeat,120,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Maiyya Yashoda.mp3
Tere Sang Yaara, Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tere Sang Yaara.mp3
Saathiya, Romantic,105,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Saathiya.mp3
Khairiyat, Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Khairiyat.mp3
Aaj Din Chadheya, Romantic,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Aaj Din Chadheya.mp3
Tera Ban Jaunga (Unplugged), Romantic,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Unplugged).mp3
Pal Pal Dil Ke Paas, Romantic,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Pal Pal Dil Ke Paas.mp3
Chhod Diya, Sad,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Chhod Diya.mp3
Khuda Jaane (Reprise), Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Khuda Jaane (Reprise).mp3
Sun Saathiya (Unplugged), Reflective,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Sun Saathiya (Unplugged).mp3
Tum Hi Ho (Sad Version), Sad,60,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Sad Version).mp3
Tum Jo Aaye (Unplugged), Reflective,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Unplugged).mp3
Tum Mile (Calm Version), Calm,65,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Calm Version).mp3
