song,mood,tempo
Chaiyya Chaiyya,    Energetic,  135
Kar Gayi Chull, Energetic, 120
Jai Ho, Upbeat, 137
Jab Koi Baat Bigad Jaye, Sad, 68
Kahin To Hogi Woh, Romantic, 80
Dil Diyan Gallan, Romantic, 75
Yeh Fitoor Mera, Romantic, 100
Tum Jo Aaye, Romantic, 70
Tose Naina, Sad, 62
Tere Bina, Reflective, 64
Pee Loon, Romantic, 90
Yeh Ishq Hai, Romantic, 112
Tum Se Hi, Calm, 90
Nadaan Parindey, Energetic, 120
Main Hoon Hero Tera, Romantic, 75
Sun Saathiya, Upbeat, 105
Gulabi Aankhen, Romantic, 120
Tera Ban Jaunga, Romantic, 80
Saudagar Sauda Kar, Energetic, 140
Aaj Kal Tere Mere Pyar Ke Charche, Upbeat, 132
Tera Hone Laga Hoon, Romantic, 108
Raabta, Romantic, 75
Tum Hi Ho (Unplugged), Romantic, 80
Hasi Ban Gaye, Reflective, 65
Janam Janam, Romantic, 68
Lat Lag Gayi, Energetic, 125
Chand Sifarish, Romantic, 80
Tum Hi Aana, Sad, 75
Muskurane, Romantic, 75
Janam Janam (Reprise), Romantic, 68
Jeene Laga Hoon, Romantic, 130
Zehnaseeb, Romantic, 80
Shayad, Romantic, 80
Yeh Jo Halka Halka Suroor Hai, Romantic, 85
Mere Haath Mein, Romantic, 90
Chak De India, Upbeat, 137
Sun Zara, Romantic, 80
Zindagi Ke Safar Mein, Reflective, 85
Kyun, Sad, 68
Teri Ore, Romantic, 70
Jashn-e-Bahara, Romantic, 80
Kabira, Calm, 75
Jab We Met, Upbeat, 126
Raat Bhar, Romantic, 92
Tum Jo Aaye, Romantic, 75
Pee Loon (Remix), Energetic, 130
Tum Hi Ho (Remix), Energetic, 120
Sunn Raha Hai, Reflective, 80
Tum Se Hi (Unplugged), Calm, 90
Kaise Hua, Romantic, 105
Ghar More Pardesiya, Energetic, 138
Tum Mile (Reprise), Reflective, 75
Yeh Dooriyan, Sad, 65
Ae Mere Humsafar, Romantic, 80
Dil To Pagal Hai, Romantic, 90
Sun Saathiya (Reprise), Reflective, 70
Tum Hi Ho (Reprise), Reflective, 75
Tera Ban Jaunga (Unplugged), Romantic, 70
Tum Mile (Unplugged), Reflective, 80
Mera Mann, Romantic, 85
Jee Karda, Energetic, 140
Tum Jo Aaye (Reprise), Romantic, 72
Tere Bina (Reprise), Reflective, 68
Bekhayali, Sad, 75
Galliyan, Romantic, 100
Soniye Hiriye, Romantic, 80
Humnava, Sad, 68
Tum Hi Ho Bandhu, Energetic, 125
Tera Ghata, Sad, 80
Pee Loon (Unplugged), Romantic, 75
Tum Mile (Love Reprise), Romantic, 82
Sun Saathiya (Reprise), Reflective, 70
Kyun Aaj Kal Neend Kam Khwaab Jyada Hai, Romantic, 85
Kaise Hua (Unplugged), Reflective, 70
Naina, Romantic, 80
Phir Le Aaya Dil, Reflective, 68
Tum Hi Ho (Acoustic), Reflective, 72
Muskurane (Unplugged), Reflective, 65
Jeene Laga Hoon (Reprise), Romantic, 90
Challa, Energetic, 110
Khuda Jaane, Romantic, 80
Teri Meri, Romantic, 80
Zara Zara, Romantic, 88
Yeh Tumhari Meri Baatein, Romantic, 82
Tera Hone Laga Hoon (Reprise), Romantic, 78
Raabta (Unplugged), Reflective, 70
Aashayein, Upbeat, 128
Kabira (Reprise), Calm, 75
Tera Zikr, Romantic, 90
Maiyya Yashoda, Upbeat, 120
Tere Sang Yaara, Romantic, 75
Saathiya, Romantic, 105
Khairiyat, Romantic, 80
Aaj Din Chadheya, Romantic, 90
Tera Ban Jaunga (Unplugged), Romantic, 70
Pal Pal Dil Ke Paas, Romantic, 68
Chhod Diya, Sad, 70
Khuda Jaane (Reprise), Romantic, 80
Sun Saathiya (Unplugged), Reflective, 75
Tum Hi Ho (Sad Version), Sad, 60
Tum Jo Aaye (Unplugged), Reflective, 70
Tum Mile (Calm Version), Calm, 65
Jab Tak, Romantic, 75
Tum Hi Ho (Sad Piano Version), Sad, 58
Tere Bin, Romantic, 75
Pee Loon (Acoustic), Reflective, 68
Phir Bhi Tumko Chaahunga, Romantic, 65
Ae Zindagi Gale Laga Le, Calm, 80
Tera Ban Jaunga (Acoustic), Calm, 70
Agar Tum Saath Ho (Unplugged), Reflective, 72
Tum Hi Ho (Aashiqui 2), Romantic, 90
Pee Loon (Reprise), Romantic, 72
Maiyya Yashoda (Thumri), Calm, 65
Phir Mohabbat, Reflective, 78
Tum Jo Aaye (Acoustic), Reflective, 70
Tu Jo Mila, Romantic, 80
Kyun Na Mere, Calm, 75
Tum Hi Ho (MTV Unplugged), Reflective, 70
Jeene Laga Hoon (Acoustic), Romantic, 75
Tum Se Hi (Reprise), Calm, 70
Yeh Kya Hua, Reflective, 68
Tera Ban Jaunga (Loveyatri), Romantic, 75
Jab Koi Baat Bigad Jaye (Jurassic Park Version), Reflective, 60
Pal Pal Dil Ke Paas (Unplugged), Reflective, 68
Kahin Door Jab Din Dhal Jaye, Calm, 68
Aahatein (Agnee), Calm, 75
Phir Le Aaya Dil (Reprise), Reflective, 70
Tera Yaar Hoon Main, Calm, 72
Bolna, Romantic, 75
Tum Hi Ho (Spanish Version), Romantic, 90
Tum Mile (Sad Version), Sad, 60
Muskurane (Unplugged), Reflective, 65
Phir Kabhi, Romantic, 75
Kyun Rabba, Reflective, 70
Jiyein Kyun, Reflective, 75
Raabta (Kehte Hain Khuda Ne), Romantic, 75
Raabta (Night In A Motel), Reflective, 70
Yahin Hoon Main, Reflective, 70
Kahin To Hogi Woh (Unplugged), Reflective, 70
Saibo, Romantic, 68
Tera Hone Laga Hoon (Sad Version), Sad, 60
Tum Hi Aana (Unplugged), Reflective, 70
Yun Hi Chala Chal, Calm, 75
Ae Mere Humsafar (Baazigar), Romantic, 80
Tum Jo Aaye (Sad Version), Sad, 60
Iktara, Calm, 75
Tum Mile (Acoustic), Reflective, 70
Bol Do Na Zara, Romantic, 70
Tum Hi Ho (English Remix), Romantic, 90
Pal Pal Dil Ke Paas (Kishore Kumar), Romantic, 80
Dil Ibaadat, Reflective, 68
Kahin To, Calm, 75
Mann Ki Lagan, Calm, 68
Kabira (MTV Unplugged), Calm, 70
Zara Zara (Unplugged), Calm, 72
Tum Jo Aaye (Unplugged), Calm, 70
Jeene Laga Hoon (Unplugged), Calm, 72
Tum Mile (Chillout Mix), Calm, 68
Agar Tum Saath Ho (Piano Version), Calm, 70
Tera Ban Jaunga (Piano Version), Calm, 70
Tum Hi Ho (Flute Version), Calm, 65
Soch Na Sake, Calm, 75
Tum Mile (Love Reprise - Piano Version), Calm, 70
Tum Hi Ho (Santoor Version), Calm, 70
Bol Do Na Zara (Acoustic), Calm, 70
Tum Se Hi (Flute Version), Calm, 70
Tum Jo Aaye (Piano Version), Calm, 70
Jeene Laga Hoon (Piano Version), Calm, 72
Tum Mile (Acoustic - Piano Version), Calm, 68
Tum Hi Ho (Guitar Version), Calm, 70
Tum Jo Aaye (Guitar Version), Calm, 70
Tera Ban Jaunga (Guitar Version), Calm, 70
Tum Mile (Violin Version), Calm, 68
Jeene Laga Hoon (Violin Version), Calm, 72
Tum Hi Ho (Tabla Version), Calm, 70
Tum Jo Aaye (Tabla Version), Calm, 70
Tum Mile (Tabla Version), Calm, 68
Jeene Laga Hoon (Tabla Version), Calm, 72
Tum Hi Ho (Sitar Version), Calm, 70
Tum Jo Aaye (Sitar Version), Calm, 70
Tum Mile (Sitar Version), Calm, 68
Jeene Laga Hoon (Sitar Version), Calm, 72
Tum Hi Ho (Harmonica Version), Calm, 70
Tum Jo Aaye (Harmonica Version), Calm, 70
Tum Mile (Harmonica Version), Calm, 68
Jeene Laga Hoon (Harmonica Version), Calm, 72
Tum Hi Ho (Piano and Violin Duet), Calm, 70
Tum Jo Aaye (Piano and Violin Duet), Calm, 70
Tum Mile (Piano and Violin Duet), Calm, 68
Jeene Laga Hoon (Piano and Violin Duet), Calm, 72
Tum Hi Ho (Piano and Sitar Duet), Calm, 70
Tum Jo Aaye (Piano and Sitar Duet), Calm, 70
Tum Mile (Piano and Sitar Duet), Calm, 68
Jeene Laga Hoon (Piano and Sitar Duet), Calm, 72
Tum Hi Ho (Guitar and Flute Duet), Calm, 70
Tum Jo Aaye (Guitar and Flute Duet), Calm, 70
Tum Mile (Guitar and Flute Duet), Calm, 68
Jeene Laga Hoon (Guitar and Flute Duet), Calm, 72
Tum Hi Ho (Flute and Violin Duet), Calm, 70
Tum Jo Aaye (Flute and Violin Duet), Calm, 70
Tum Mile (Flute and Violin Duet), Calm, 68
Tum Jo Mile, Calm, 70
Tum Mile (Saxophone Version), Calm, 70
Tum Hi Ho (Rendition), Calm, 70
Tum Jo Aaye (Rendition), Calm, 70
Tera Ban Jaunga (Rendition), Calm, 70
Jeene Laga Hoon (Rendition), Calm, 72
Tum Mile (Piano Rendition), Calm, 68
Tum Hi Ho (Sitar Rendition), Calm, 70
Tum Jo Aaye (Flute Rendition), Calm, 70
Tera Ban Jaunga (Guitar Rendition), Calm, 70
Jeene Laga Hoon (Violin Rendition), Calm, 72
Tum Mile (Chillout Saxophone Mix), Calm, 68
Tum Hi Ho (Chillout Mix), Calm, 70
Tum Jo Aaye (Chillout Version), Calm, 70
Tera Ban Jaunga (Chillout Mix), Calm, 70
Jeene Laga Hoon (Chillout Version), Calm, 72
Tum Mile (Santoor Rendition), Calm, 68
Tum Hi Ho (Piano and Saxophone Duet), Calm, 70
Tum Jo Aaye (Guitar and Violin Duet), Calm, 70
Tera Ban Jaunga (Flute and Piano Duet), Calm, 70
Jeene Laga Hoon (Sitar and Flute Duet), Calm, 72
Tum Mile (Piano and Violin Rendition), Calm, 68
Tum Hi Ho (Guitar and Sitar Duet), Calm, 70
Tum Jo Aaye (Tabla and Flute Duet), Calm, 70
Tera Ban Jaunga (Saxophone and Violin Duet), Calm, 70
Jeene Laga Hoon (Piano and Sitar Duet), Calm, 72
Tum Mile (Calm Saxophone Mix), Calm, 68
Tum Hi Ho (Flute and Saxophone Duet), Calm, 70
Tum Jo Aaye (Saxophone and Violin Duet), Calm, 70
Tera Ban Jaunga (Piano and Flute Duet), Calm, 70
Jeene Laga Hoon (Guitar and Violin Duet), Calm, 72
Tum Mile (Flute and Sitar Duet), Calm, 68
Tum Hi Ho (Piano and Guitar Duet), Calm, 70
Tum Jo Aaye (Sitar and Flute Duet), Calm, 70
Tera Ban Jaunga (Guitar and Violin Duet), Calm, 70
Jeene Laga Hoon (Saxophone and Piano Duet), Calm, 72
Tum Mile (Chillout Saxophone Mix), Calm, 68
Tum Hi Ho (Piano Rendition), Calm, 70
Tum Jo Aaye (Flute Rendition), Calm, 70
Tera Ban Jaunga (Guitar Rendition), Calm, 70
Jeene Laga Hoon (Violin Rendition), Calm, 72
Tum Mile (Chillout Saxophone Mix), Calm, 68
Tum Hi Ho (Piano and Saxophone Duet), Calm, 70
Tum Jo Aaye (Guitar and Violin Duet), Calm, 70
Tera Ban Jaunga (Flute and Piano Duet), Calm, 70
Jeene Laga Hoon (Sitar and Flute Duet), Calm, 72
Tum Mile (Piano and Violin Rendition), Calm, 68
Tum Hi Ho (Guitar and Sitar Duet), Calm, 70
Tum Jo Aaye (Tabla and Flute Duet), Calm, 70
Tera Ban Jaunga (Saxophone and Violin Duet), Calm, 70
Judaai, Sad, 75
Tere Bina (Unplugged), Sad, 68
Hasi Ban Gaye (Male Version), Sad, 70
Muskurane (Unplugged), Sad, 75
Ae Dil Hai Mushkil (Title Track), Sad, 68
Kyun Na Hum Tum, Sad, 75
Phir Le Aaya Dil, Sad, 70
Jiya, Sad, 75
Teri Meri Kahaani, Sad, 70
Tera Chehra, Sad, 75
Aaj Phir Tum Pe, Sad, 68
Tum Bin, Sad, 70
Kabira (MTV Unplugged), Sad, 70
Jiyein Kyun, Sad, 75
Channa Mereya (Unplugged), Sad, 72
Humnava, Sad, 68
Tere Bina (Reprise), Sad, 70
Bhula Dena, Sad, 75
Raabta (Unplugged), Sad, 70
Tum Hi Ho (Sad Version), Sad, 68
Jeene Laga Hoon (Sad Version), Sad, 72
Tum Mile (Sad Version), Sad, 70
Dil Ibaadat, Sad, 68
Agar Tum Saath Ho (Sad Version), Sad, 65
Tum Jo Aaye (Sad Version), Sad, 70
Tum Hi Aana (Unplugged), Sad, 75
Phir Mohabbat, Sad, 76
Judaai (Reprise), Sad, 72
Naina Da Kya Kasoor, Sad, 68
Dil Sambhal Ja Zara, Sad, 70
Hasi Ban Gaye (Female Version), Sad, 75
Bekhayali (Acoustic), Sad, 70
Tum Mile (Sad Guitar Version), Sad, 68
Dil De Diya Hai (Unplugged), Sad, 75
Roke Na Ruke Naina, Sad, 70
Kaise Hua (Reprise), Sad, 75
Tum Jo Aaye (Piano Version), Sad, 70
Mera Naam Joker (Sad Theme), Sad, 70
Main Tenu Samjhawan Ki (Sad Version), Sad, 68
Tera Hone Laga Hoon (Sad Version), Sad, 72
Ae Watan (Female Version), Sad, 75
Kyun Maine Dil Toda, Sad, 68
Tere Bin (Unplugged), Sad, 70
Naina (Dangal), Sad, 72
Tum Hi Ho (Unplugged), Sad, 80
Tere Bina (Unplugged), Sad, 68
Tere Bin (Bas Ek Pal), Sad, 70
Jeene Laga Hoon (Sad Guitar Version), Sad, 72
Dil Ibaadat (Rock), Sad, 75
Sun Saathiya, Romantic, 95
Malhari (Unplugged), Energetic, 75
Tum Mile (Chillout Mix), Reflective, 68
Tum Hi Ho (Rock Version), Energetic, 85
Sun Saathiya (Unplugged), Upbeat, 95
Tum Jo Aaye (Rock Version), Energetic, 80
Jeene Laga Hoon (Dance Mix), Upbeat, 130
Raabta (Remix), Energetic, 100
Tum Hi Ho (Electro Mix), Energetic, 120
Ghar More Pardesiya (Club Mix), Upbeat, 138
Tum Mile (Electronic Remix), Upbeat, 128
Channa Mereya (EDM Mix), Upbeat, 110
Sun Saathiya (Remix), Upbeat, 105
Bulleya (Dubstep Version), Energetic, 92
Tum Hi Ho (Trap Remix), Energetic, 100
Janam Janam (Dance Mix), Upbeat, 120
Agar Tum Saath Ho (Club Mix), Upbeat, 128
Tum Jo Aaye (Electronic Mix), Upbeat, 110
Tera Ban Jaunga (Reggae Remix), Upbeat, 85
Tum Hi Ho (Chillstep Mix), Reflective, 70
Muskurane (Soulful Mix), Reflective, 75
Sun Saathiya (Jazz Fusion), Reflective, 80
Tum Jo Aaye (Acoustic Mix), Reflective, 70
Bulleya (Sufi Fusion), Reflective, 85
Tum Hi Ho (Symphony Orchestra), Reflective, 75
Jeene Laga Hoon (Piano Rendition), Reflective, 72
Raabta (Flute and Guitar Duet), Reflective, 75
Tum Mile (Acoustic Version), Reflective, 70
Tum Jo Aaye (Saxophone Rendition), Reflective, 70
Tera Ban Jaunga (Violin Mix), Reflective, 80
Tum Hi Ho (Harmonica Version), Reflective, 72
Jeene Laga Hoon (Flute Rendition), Reflective, 75
Agar Tum Saath Ho (Guitar Mix), Reflective, 65
Tum Jo Aaye (Piano and Violin Duet), Reflective, 70
Tum Hi Ho (Acoustic Guitar Solo), Reflective, 72
Muskurane (Cello and Piano Duet), Reflective, 75
Sun Saathiya (R&B Remix), Reflective, 90
Tum Jo Aaye (Sitar and Tabla Fusion), Reflective, 70
Tera Ban Jaunga (Acoustic Ballad), Reflective, 70
Jeene Laga Hoon (Guitar Solo), Reflective, 72
Tum Mile (Vocal Harmony), Reflective, 70
Tum Hi Ho (Jazz Ensemble), Reflective, 75
Raabta (Piano Rendition), Reflective, 70
Tum Jo Aaye (Saxophone and Guitar Duet), Reflective, 70
Tera Ban Jaunga (String Quartet), Reflective, 75
Jeene Laga Hoon (Vocal Percussion), Reflective, 72
Agar Tum Saath Ho (Chillout Mix), Reflective, 65
Tum Jo Aaye (Harp and Flute Duet), Reflective, 70
Tum Hi Ho (Piano and Violin Ensemble), Reflective, 72
Muskurane (Acoustic Ballad), Reflective, 75
Sun Saathiya (Soulful Mix), Reflective, 80
Tum Jo Aaye (Flute and Piano Duet), Reflective, 70
Tera Ban Jaunga (Chillstep Remix), Reflective, 70
Jeene Laga Hoon (Orchestral Arrangement), Reflective, 72
Tum Mile (Harp and Violin Ensemble), Reflective, 70
Tum Hi Ho (Soulful Mix), Reflective, 75
Raabta (Harmonica and Guitar Duet), Reflective, 70
Tum Jo Aaye (Sitar and Flute Fusion), Reflective, 70
Tera Ban Jaunga (Piano Rendition), Reflective, 80
Jeene Laga Hoon (Chillout Mix), Reflective, 72
Tum Mile (Jazz Fusion), Reflective, 70
Tum Hi Ho (Guitar and Piano Duet), Reflective, 72
Raabta (Sitar Rendition), Reflective, 70
Tum Jo Aaye (Cello and Violin Duet), Reflective, 70
Tera Ban Jaunga (Guitar Solo), Reflective, 80
Jeene Laga Hoon (Vocal Percussion), Reflective, 72
Tum Mile (Acoustic Ballad), Reflective, 70
Tum Hi Ho (Jazz Ensemble), Reflective, 75
Raabta (Piano Rendition), Reflective, 70
Tum Jo Aaye (Saxophone and Guitar Duet), Reflective, 70
Sun Saathiya, Romantic, 105
Bulleya, Romantic, 90
Janam Janam, Romantic, 68
Agar Tum Saath Ho, Romantic, 60
Tum Hi Ho, Romantic, 90
Kabhi Kabhi Aditi, Romantic, 112
Tum Mile, Romantic, 80
Zara Zara, Romantic, 90
Jeene Laga Hoon, Romantic, 130
Raabta, Romantic, 75
Sun Saathiya, Romantic, 105
Bulleya, Romantic, 90
Janam Janam, Romantic, 68
Agar Tum Saath Ho, Romantic, 60
Tum Hi Ho, Romantic, 90
Kabhi Kabhi Aditi, Romantic, 112
Tum Mile, Romantic, 80
Zara Zara, Romantic, 90
Jeene Laga Hoon, Romantic, 130
Raabta, Romantic, 75
Sun Saathiya, Romantic, 105
Bulleya, Romantic, 90
Janam Janam, Romantic, 68
Agar Tum Saath Ho, Romantic, 60
Tum Hi Ho, Romantic, 90
Kabhi Kabhi Aditi, Romantic, 112
Tum Mile, Romantic, 80
Zara Zara, Romantic, 90
Jeene Laga Hoon, Romantic, 130
Raabta, Romantic, 75
Sun Saathiya, Romantic, 105
Bulleya, Romantic, 90
Janam Janam, Romantic, 68
Agar Tum Saath Ho, Romantic, 60
Tum Hi Ho, Romantic, 90
Kabhi Kabhi Aditi, Romantic, 112
Tum Mile, Romantic, 80
Zara Zara, Romantic, 90
Jeene Laga Hoon, Romantic, 130
Raabta, Romantic, 75
Sun Saathiya, Romantic, 105
Bulleya, Romantic, 90
Janam Janam, Romantic, 68
Agar Tum Saath Ho, Romantic, 60
Tum Hi Ho, Romantic, 90
Kabhi Kabhi Aditi, Romantic, 112
Tum Mile, Romantic, 80
Zara Zara, Romantic, 90
Jeene Laga Hoon, Romantic, 130
Raabta, Romantic, 75
